%time,field.dynamixel_state0.name,field.dynamixel_state0.id,field.dynamixel_state0.present_position,field.dynamixel_state0.present_velocity,field.dynamixel_state0.present_current
1599990675849017493,one,1,-5690,27,0
1599990675913343838,one,1,-5663,27,0
1599990675945106645,one,1,-5649,27,0
1599990676009106597,one,1,-5622,27,0
1599990676073265920,one,1,-5594,27,0
1599990676105209193,one,1,-5580,27,0
1599990676169343006,one,1,-5553,27,0
1599990676201184807,one,1,-5539,27,0
1599990676265149172,one,1,-5510,27,0
1599990676297088166,one,1,-5496,27,0
1599990676360950758,one,1,-5468,27,0
1599990676393181619,one,1,-5454,27,0
1599990676456708606,one,1,-5426,27,0
1599990676521201496,one,1,-5407,22,-12
1599990676553018926,one,1,-5410,10,-10
1599990676617069542,one,1,-5429,-12,-8
1599990676649082557,one,1,-5443,-20,-7
1599990676713046122,one,1,-5473,-28,-7
1599990676745122874,one,1,-5491,-30,-7
1599990676809031129,one,1,-5527,-33,-6
1599990676873068866,one,1,-5564,-34,-6
1599990676905111686,one,1,-5581,-34,-6
1599990676970177105,one,1,-5617,-34,-6
1599990677001053746,one,1,-5635,-34,-6
1599990677065064346,one,1,-5670,-34,-6
1599990677097059875,one,1,-5689,-34,-6
1599990677161176738,one,1,-5725,-34,-6
1599990677193046734,one,1,-5744,-34,-6
1599990677256951003,one,1,-5779,-34,-6
1599990677320956270,one,1,-5815,-34,-6
1599990677352936559,one,1,-5833,-34,-6
1599990677417062840,one,1,-5869,-34,-6
1599990677448992575,one,1,-5887,-34,-6
1599990677512955817,one,1,-5923,-34,-6
1599990677544949731,one,1,-5941,-34,-6
1599990677609021324,one,1,-5977,-34,-6
1599990677672904171,one,1,-6013,-34,-6
1599990677705008713,one,1,-6031,-34,-6
1599990677769035487,one,1,-6067,-34,-6
1599990677801037130,one,1,-6085,-34,-6
1599990677864930141,one,1,-6122,-34,-6
1599990677896921411,one,1,-6140,-34,-6
1599990677961036857,one,1,-6176,-34,-6
1599990677993057572,one,1,-6195,-34,-6
1599990678057117820,one,1,-6231,-35,-6
1599990678120954450,one,1,-6266,-35,-6
1599990678153004861,one,1,-6284,-35,-6
1599990678216968870,one,1,-6322,-35,-5
1599990678248856728,one,1,-6340,-35,-5
1599990678312945422,one,1,-6376,-35,-5
1599990678344874468,one,1,-6394,-35,-5
1599990678408889489,one,1,-6429,-35,-5
1599990678473103851,one,1,-6465,-34,-6
1599990678505047440,one,1,-6483,-34,-6
1599990678568952008,one,1,-6519,-34,-6
1599990678600983244,one,1,-6537,-34,-5
1599990678664903424,one,1,-6574,-34,-6
1599990678696896104,one,1,-6592,-34,-6
1599990678760914295,one,1,-6627,-34,-5
1599990678824648908,one,1,-6663,-34,-6
1599990678856638362,one,1,-6680,-34,-6
1599990678920633446,one,1,-6717,-34,-6
1599990678952821759,one,1,-6735,-34,-6
1599990679016893905,one,1,-6771,-34,-6
1599990679049053532,one,1,-6789,-34,-6
1599990679112891867,one,1,-6826,-34,-6
1599990679144717899,one,1,-6844,-34,-6
1599990679208901247,one,1,-6880,-34,-6
1599990679272396076,one,1,-6916,-34,-6
1599990679304348524,one,1,-6934,-34,-6
1599990679368800278,one,1,-6971,-34,-6
1599990679400777796,one,1,-6989,-34,-6
1599990679464496427,one,1,-7024,-34,-6
1599990679496664339,one,1,-7042,-34,15
1599990679560938738,one,1,-7047,-14,8
1599990679624813003,one,1,-7024,15,3
1599990679656812685,one,1,-7008,24,1
1599990679720829263,one,1,-6968,36,0
1599990679753292837,one,1,-6947,38,0
1599990679816891382,one,1,-6905,40,0
1599990679848812074,one,1,-6884,41,0
1599990679912816106,one,1,-6841,42,0
1599990679944757770,one,1,-6819,42,0
1599990680008801554,one,1,-6774,43,0
1599990680072674142,one,1,-6731,43,0
1599990680104807603,one,1,-6708,42,0
1599990680168781919,one,1,-6664,42,0
1599990680200819341,one,1,-6642,42,0
1599990680264851172,one,1,-6598,42,0
1599990680296862146,one,1,-6576,42,0
